,MakeModel,Size,NumberOfPlanes,NumberOfAccidents,MeanDangerScale,NumAccs_NumPlanes_Ratio
0,boeing 737,large,4119,1016.0,0.7904255319148936,0.24666181111920368
1,boeing 757,large,1021,202.0,0.6277173913043478,0.197845249755142
2,airbus 320,large,980,111.0,1.0483870967741935,0.11326530612244898
3,mcdonnell/douglas 80,large,802,,,
4,airbus 319,large,677,32.0,0.4444444444444444,0.047267355982274745
5,airbus 321,large,601,37.0,0.6710526315789473,0.06156405990016639
6,boeing 767,large,566,210.0,0.6425,0.3710247349823322
7,boeing 777,large,323,161.0,0.5625,0.4984520123839009
8,boeing 717,large,201,24.0,0.59375,0.11940298507462686
9,airbus 330,large,163,52.0,0.75,0.31901840490797545
10,embraer 145,medium,861,55.0,0.5703125,0.06387921022067364
11,canadair 200,medium,551,,,
12,embraer 170,medium,510,21.0,1.21875,0.041176470588235294
13,embraer 175,medium,425,2.0,,0.004705882352941176
14,bombardier 200,medium,388,1.0,3.0,0.002577319587628866
15,bombardier 900,medium,375,,,
16,canadair 700,medium,238,,,
17,embraer 190,medium,201,33.0,1.0833333333333333,0.16417910447761194
18,embraer 120,medium,175,37.0,1.1018518518518519,0.21142857142857144
19,bombardier 700,medium,156,6.0,0.3333333333333333,0.038461538461538464
20,cessna 208,small,544,305.0,1.6297909407665505,0.5606617647058824
21,boeing 767,small,400,210.0,0.6425,0.525
22,boeing 747,small,375,301.0,0.6225,0.8026666666666666
23,boeing 757,small,333,202.0,0.6277173913043478,0.6066066066066066
24,boeing 727,small,304,287.0,0.7271573604060914,0.944078947368421
25,airbus 300,small,231,14.0,0.75,0.06060606060606061
26,mcdonnell/douglas 11,small,208,,,
27,mcdonnell/douglas 101,small,118,,,
28,boeing 777,small,76,161.0,0.5625,2.1184210526315788
29,boeing 737,small,73,1016.0,0.7904255319148936,13.917808219178083
